id,name,type,capacity,oneway,nodes
23401977,Aujon,platter,900,,253367171|253367163|253367162|253367160
30160814,Vercland,gondola,3000,no,9506333770|8524637540|8524637541|8524637542|8524637543|8524637544|10593586252|8524637545|8524637546|8524637547|8524637548|8524637549|8524637550|332361457
30160823,Damoiseaux,chair_lift,2280,no,332361419|2698585327|2698585346|2698585421|2698585480|9217977012|332361610
30160828,Kédeuze,gondola,2740,no,332361936|8674270082|8674270083|8674270084|8674270085|8674270086|8674270087|8674270088|8674270089|8674270090|8674270091|8674270092|8674270093|332361341
30161209,Esserts,chair_lift,2112,no,332366701|10086495896|8717907999|8717908000|8717908001|8717908002|8717908003|8717908004|8717908005|8717908006|8717908007|2504774474
30700953,Tête des Verds,chair_lift,3100,yes,339509682|8665011279|8665011280|8665011281|8665011282|8665011283|8665011284|8665011285|8665011286|8665011287|8665011288|8665011289|8665011290|8665011291|8665011292|8665011293|8665011294|8665011295|339509685
30700954,Grand Grenier,platter,860,,9385433144|339509691|339509693
30700955,Désert Blanc,chair_lift,3000,no,339509696|8665015252|8665015253|8665015254|8665015255|8665015256|8665015257|8665015258|8665015259|8665015260|8665015261|8665015262|8665015263|2088582397
30700972,Télébenne de Flaine Supérieur,gondola,942,no,339509809|8665011298|8665011296|8665011297|339509810
31106219,Lapiaz,platter,1200,,253911292|253911290
31117147,Véret,platter,720,,345836152|345836154|9917417117|9917417116|9917417115|9917417114|9917417112|9917417113|345836157
32450160,Lac,chair_lift,2000,no,364822878|8665011314|8665011315|8665011316|8665015217|8665015218|8665015219|8665015220|8665015221|364822915
32450480,Gérats,chair_lift,2400,yes,364827472|8717877328|8717877329|8717877330|364827478
52726479,Chariande Express,chair_lift,3000,yes,669205011|2698585285|2698585260|2698585219|2698585206|2698585190|2698585162|2698585160|2698585155|2698585152|2698585142|2698585109|2698585094|2698585060|2698585052|2698585046|2698585019|2698584987|2698584976|2698584965|2698584956|2698584950|2698584926|2698584909|2698584899|2698584887|3668748461|2698584883|669205009
55792198,Bois,drag_lift,,,700829967|8665011278|700829961|3240487685
55792199,Stade,platter,,,3240488277|700829965|700829963
142967224,Plein Soleil,drag_lift,730,,1564328367|10539084884|10539084885|10539084886|10539084887|10539084888|10539084889|10539084890|10539084891|10539084892|3240461795
142973363,Plan Moulin,platter,600,,1564291913|9470930627|1564291906|9470930628|9470930629|9470930630|9470930631|9470930633|1564291859
142973368,Kédeuse,t-bar,,,3240466526|1564364568|3240466525
142977657,Crêtes,drag_lift,,,3240461967|3240461971|8674270094|3240461970|3240461969|2049396981|3240461963
