id,name,type,difficulty,nodes
23455368,Pendant,downhill,novice,2500716539|2500716518|332361623|4552462463|332361231|8532280511|4618508369|2500717313
23455376,Gouilles,downhill,easy,332361477|2160274967|8524561324|8524561323|332361273|332361669|332361313|332361528|332361727|332361927|8532250299|8532250300|2500717264|2500716600|2500716567|8532250311|345656108|8532250314|8532250305|8524561322|8532206601|8532250306|332361292|8532250304|8532250303|332361918|345656121|345656123
26570489,Vieille,downhill,easy,6359384123|291334651|291334652|291334706|291334646|291334648|6359384124|6325883671|291334662|291334666|6359384120|9506333785|9506333786|9506333790|9506333789|9506333788|9506333787|9506333784|332361851
29357317,Malice,downhill,easy,322918376|322916554|322916555|2698584869|332361428|332361593|2160274951|332361786|2698584871|332361164|332361563|332361739|2698584865|332361921|332361334
29357319,Chamois,downhill,intermediate,322916558|322916574|8532201006|2698678996|2698679002|322916576|2698679005|2160292593|2698678998|1633445541|8532201008|322916577|2698678992|345679177
29357506,Perce-neige,downhill,easy,322918375|2160274941|322918374|2698584861|322918373|322918378|2160274947|2160274949|322916555|2049397005|2698584879|322916556|2049396991|322916557|322916558|322916559|2698679020|2698679033|2698679035|6722952364|2698679043
29357783,Corbalanche,downhill,advanced,4407183678|8524561328|9506333722|9385509033|10091766885|4618660720|4618660721|4535730439|4618660725|4618660724|4535730438|4535730437|4618660726|322920175|4535730436|322920176|2698584853|4618660727|2160274937|4618660728|4403807255|332361475
29357785,Cupoire,downhill,intermediate,322916573|2160292589|345832591|345832593|9449700989|9449700990|9449700991|1564398969|9449700992|9449700993|1564398981|9449700994|9449700995|1564398979|2160292604|2112494737|9449715734|1564398977|1564398971|1564398973|1564398975|322920186
30160801,L'Arête,downhill,easy,1564413381|332361202|1564413384|332361410|332361597|332361787|332361354|332361744|1633445543|332361902|332361327|2160274971|332361501|10083799666|6366188857|6366188856|332361863|332361283|2160274976
30160802,Silice,downhill,easy,669205009|1633445539|322916543|332361334|2698584863|6722962981|332361705
30160803,Serpentine,downhill,intermediate,332361900|332361540|332361506|364832604
30160804,Stade,downhill,intermediate,2500716802|8524561275|8524561277|332361654|332361251|2500716849|8524540988|8524540989|2500716565|2500717210
30160810,Biollaire,downhill,easy,332361464|332361652|2160292608|332361606|2160292606|332361549|332361745|332361905|332361329|332361502|332361697|332361278|332361634|332361849|332361463|332361635|332361160|332361422|332361874|332361275|332361516|2112494737|1564398982|332361433|9054609419|332361180|332361392|332361609|332361802|2114019133
30160811,raccord TC,downhill,novice,332361706|332361447|332361168|3784952678|618659961
30160813,Timalets,downhill,intermediate,332361481|332361674|2499996678|332361838|332361793|332361925|332361611|1564291905|345839895|345839896|332361706|1564291913
30160815,Grenat,downhill,easy,332361214|2112421793|2112421806|2112421802|2112421804|2112421798|2160274929|2112421796|2112421794|2160274931|2112421789|2112421787|2112421782|2112421778|2112421811|2160274933|2112421807|2112421784
30160816,Oratoire,downhill,easy,2500717168|9218003993|9505529140|8524541000|9505529139|9505529138|6312577605|2698585525|9505529141|8532280513|332361231|8532280512|332361694|332361871|332361268|332361556|332361735|332361920|332361321|2500716829|2500717189|2500716604|2500717335|8524561266|2500716367
30160817,Blanchot,downhill,easy,332361181|332361400|332361566|2046241167|332361847|332361245|332361441|332361616|7572195883|1633445537|6333732853|332361895|10539084846|332361294|332361491|2046241179|6723071677|2046241184|10539084857|332361939|2046241193|332361358|2046241191|10539084858|332361550|332361717|2812723335|332361882|9417832577
30160820,Sairon,downhill,easy,2114019141|9506333779|2160274976|6325887491|332361402|332361733|332361945|332361326|332361542|332361276|6323428404|332361490|332361842|291334666|6359384121|291334658|291334661|2499763950|291334538|291334534|2499764149|291334531|291334537|2499763799|291334533|291334530|291334664|291334532|291334529|291334525|291334522|8553383615|291334528|291334524|291334521|291334523|8553383616|8553383629|291334555|8553383630|291334553|8553383631|8553383632|291334527|291334557|291334549|291334548|291334539|291334550|8553383643|8553383642|291334541|291334540|8553383641|291334560|8553383640|291334546|2499764156|8553383639|291335019|8553383638|291335028|291335031|8553383637|332361260|332361438|8553383614|332361629|332361796|332361185|332361423|332361572|332361782|332361349|332361564|332361714|332361923|9449551390|332361295|8553383591|10697929998|10697929997|8553383602|8553383603|332361872|2114019149
30160821,Labérieu,downhill,easy,9449551385|2499763959|2499763977|6363588532|2499763835|9459222831|2088627676|2088627698|2088627696|2088627695|2088627693|2088627692|2088627689|9470150186|9470150184|9470150185|9470150183|9470150182|2088627688|3373344979|9470150179|9470150180|9470150178|9470150181|9220647483
30160824,Cascades,downhill,easy,332361625|332361624|332361815|332361183|332361399|332361571|332361356|332361547|9470810290|332361720|332361903|332361309|332361495|332361673|332361859|332361265|332361452|332361620|332361812|332361199|332361420|332361588|332361781|332361161|332361746|332361924|9470810292|332361331|2088408293|332361524|332361713|332361896|332361296|332361493|332361663|332361857|332361250|332361449|332361608|332361795|332361176|332361396|332361938|332361343|332361539|332361712|332361893|332361312|332361476|332361668|332361843|332361261|332361439|332361628|332361832|2500636074|332361194|332361408|332361600|332361789|332361553|332361756|332361914|332361320|332361538|332361675|332361888|6739850921|332361270|2500636171|332361486|332361639|2500636411|2500636453|332361852|332361237|332361407|332361598|332361775|332361173|332361732|332361933|332361324|332361535|8532007321|332361677|8532007322|332361889|332361272|332361484|2039587247|332361632|8532007323|8532007324|332361846|332361210|332361468|2500512735|2500512728|332361827|2500636101
30160825,Verosse,downhill,easy,332361477|2160274967|2698584961|2698584963|2698584974|332361471|10538957617|345656102|345656103|345656109|345656118|8532250312|345656108|8532250313|8532250302|2500716541|8532250301|2698585085|2088627652|254019232|2500716371|2698679275|2500717141|2698679279|2698585144|345656088|1633445555|2698585147|1633445557|2698585149|2698585150|1633445559|1633445561|345656089|2698679296|1633445563|2698679300|2500716761|345656090|2698679304|1633445568|1633445572|1633445573|9521938868|2698589337|9521938869|2698589338|2698589339|2698589340|2698589341|2500717162
30160827,Plein Soleil,downhill,easy,332361488|476722674|9422186350|332361443|332361853|332361263|3240468461|9449715748|1564328371|10539084893|6333732858|332361507
