id,sequence,node
23401977,0,253367171
23401977,1,253367163
23401977,2,253367162
23401977,3,253367160
23455368,0,2500716539
23455368,1,2500716518
23455368,2,332361623
23455368,3,4552462463
23455368,4,332361231
23455368,5,8532280511
23455368,6,4618508369
23455368,7,2500717313
23455376,0,332361477
23455376,1,2160274967
23455376,2,8524561324
23455376,3,8524561323
23455376,4,332361273
23455376,5,332361669
23455376,6,332361313
23455376,7,332361528
23455376,8,332361727
23455376,9,332361927
23455376,10,8532250299
23455376,11,8532250300
23455376,12,2500717264
23455376,13,2500716600
23455376,14,2500716567
23455376,15,8532250311
23455376,16,345656108
23455376,17,8532250314
23455376,18,8532250305
23455376,19,8524561322
23455376,20,8532206601
23455376,21,8532250306
23455376,22,332361292
23455376,23,8532250304
23455376,24,8532250303
23455376,25,332361918
23455376,26,345656121
23455376,27,345656123
26570489,0,6359384123
26570489,1,291334651
26570489,2,291334652
26570489,3,291334706
26570489,4,291334646
26570489,5,291334648
26570489,6,6359384124
26570489,7,6325883671
26570489,8,291334662
26570489,9,291334666
26570489,10,6359384120
26570489,11,9506333785
26570489,12,9506333786
26570489,13,9506333790
26570489,14,9506333789
26570489,15,9506333788
26570489,16,9506333787
26570489,17,9506333784
26570489,18,332361851
29357317,0,322918376
29357317,1,322916554
29357317,2,322916555
29357317,3,2698584869
29357317,4,332361428
29357317,5,332361593
29357317,6,2160274951
29357317,7,332361786
29357317,8,2698584871
29357317,9,332361164
29357317,10,332361563
29357317,11,332361739
29357317,12,2698584865
29357317,13,332361921
29357317,14,332361334
29357319,0,322916558
29357319,1,322916574
29357319,2,8532201006
29357319,3,2698678996
29357319,4,2698679002
29357319,5,322916576
29357319,6,2698679005
29357319,7,2160292593
29357319,8,2698678998
29357319,9,1633445541
29357319,10,8532201008
29357319,11,322916577
29357319,12,2698678992
29357319,13,345679177
29357506,0,322918375
29357506,1,2160274941
29357506,2,322918374
29357506,3,2698584861
29357506,4,322918373
29357506,5,322918378
29357506,6,2160274947
29357506,7,2160274949
29357506,8,322916555
29357506,9,2049397005
29357506,10,2698584879
29357506,11,322916556
29357506,12,2049396991
29357506,13,322916557
29357506,14,322916558
29357506,15,322916559
29357506,16,2698679020
29357506,17,2698679033
29357506,18,2698679035
29357506,19,6722952364
29357506,20,2698679043
29357783,0,4407183678
29357783,1,8524561328
29357783,2,9506333722
29357783,3,9385509033
29357783,4,10091766885
29357783,5,4618660720
29357783,6,4618660721
29357783,7,4535730439
29357783,8,4618660725
29357783,9,4618660724
29357783,10,4535730438
29357783,11,4535730437
